m/z;Interval Width (+/- Da);Color;Name
124.02;0.049608000000006;#ff0000;Taurine
132.03;0.052811999999989;#33a02c;Aspartate
140.02;0.056007999999991;#6a33c2;PEA
145.07;0.058028000000007;#ff7f00;Glutamine
146.06;0.058424000000002;#ffd700;Glutamate
167.03;0.066811999999999;#a6cee3;Urate
174.04;0.069615999999996;#fb6496;NAA
174.83;0.069931999999994;#b2df8a;Zinc
175.02;0.070008000000001;#cab2d6;Ascorbate
191.02;0.076407999999986;#fdbf6f;Citrate
214.05;0.085620000000006;#999999;GPE
215.03;0.086012000000011;#eee685;Glucose
306.068;0.1224272;#c8308c;GSH
346.05;0.13842;#ff83fa;AMP
426.01;0.17040400000002;#c814fa;ADP
505.97;0.20238799999998;#0000ff;ATP
714.48;0.28579200000001;#36648b;PE 91
716.48;0.28659200000004;#00e2e5;PE 92
738.49;0.29539599999998;#00ff00;PE 94
740.49;0.29619600000001;#778b00;PE 95
742.51;0.29700400000002;#bebe00;PE 96
744.52;0.29780800000003;#8b3b00;PE 97
747.48;0.298992;#a52a3c;PG 98
762.48;0.30499199999997;#1f78c8;PE 103
764.49;0.30579599999999;#ff0000;PE 104
766.5;0.3066;#33a02c;PE 105
770.52;0.30820800000004;#6a33c2;PE 106
786.48;0.31459199999995;#ff7f00;PS 109
788.5;0.31539999999995;#ffd700;PS 110
792.53;0.31701199999998;#a6cee3;PE 112
812.52;0.32500800000003;#fb6496;PS 118
816.51;0.32660399999997;#b2df8a;PS 120
833.5;0.33339999999998;#cab2d6;PI 121
834.51;0.33380399999999;#fdbf6f;PS 122
835.49;0.33419600000002;#999999;PI 123
838.51;0.33540400000004;#eee685;PS 124
844.55;0.33781999999997;#c8308c;PS 125
857.47;0.34298799999999;#ff83fa;PI 126
861.5;0.34460000000001;#c814fa;PI 128
863.53;0.34541200000001;#0000ff;PI 129